Lat,Lon,Brightness,Confidence,Satellite,Instrument,DayNight,Timestamp
53.6818,-115.1444,356.4,100,Terra,MODIS,N,2023-05-01 05:20:00
53.6629,-115.1385,325.4,99,Terra,MODIS,N,2023-05-01 05:20:00
53.6724,-115.1415,362.7,100,Terra,MODIS,N,2023-05-01 05:20:00
53.68,-115.1618,317.1,63,Terra,MODIS,N,2023-05-01 05:20:00
53.6573,-115.1344,337.8,84,Terra,MODIS,D,2023-05-01 18:49:00
53.6758,-115.1249,329.1,72,Terra,MODIS,D,2023-05-01 18:49:00
53.655,-115.1422,331.2,79,Terra,MODIS,D,2023-05-01 18:49:00
53.6666,-115.1296,328.2,77,Terra,MODIS,D,2023-05-01 18:49:00
53.0918,-114.2584,315.0,69,Terra,MODIS,D,2023-05-03 18:33:00
52.7205,-113.7683,371.3,87,Aqua,MODIS,D,2023-05-03 21:01:00
52.7123,-113.7459,345.7,93,Aqua,MODIS,D,2023-05-03 21:01:00
52.7103,-113.7657,380.0,87,Aqua,MODIS,D,2023-05-03 21:01:00
52.7225,-113.7486,325.9,72,Aqua,MODIS,D,2023-05-03 21:01:00
53.6788,-115.1282,323.2,71,Terra,MODIS,D,2023-05-04 19:13:00
53.1478,-115.694,312.9,63,Terra,MODIS,D,2023-05-04 19:14:00
52.8212,-115.9042,342.6,92,Terra,MODIS,D,2023-05-04 19:14:00
52.8144,-115.8757,318.1,74,Terra,MODIS,D,2023-05-04 19:14:00
52.8194,-115.9121,333.4,87,Terra,MODIS,D,2023-05-04 19:14:00
52.8126,-115.8835,324.3,80,Terra,MODIS,D,2023-05-04 19:14:00
53.1437,-115.7128,369.5,100,Aqua,MODIS,D,2023-05-04 20:06:00
53.627,-115.1317,334.3,86,Aqua,MODIS,D,2023-05-04 20:06:00
53.644,-115.1134,334.5,86,Aqua,MODIS,D,2023-05-04 20:06:00
53.6381,-115.1391,331.7,84,Aqua,MODIS,D,2023-05-04 20:06:00
53.6386,-115.114,351.3,96,Aqua,MODIS,D,2023-05-04 20:06:00
53.6717,-115.1361,328.0,82,Aqua,MODIS,D,2023-05-04 20:06:00
53.6657,-115.1618,327.3,80,Aqua,MODIS,D,2023-05-04 20:06:00
53.6828,-115.1435,363.3,100,Aqua,MODIS,D,2023-05-04 20:06:00
53.6768,-115.1691,335.9,88,Aqua,MODIS,D,2023-05-04 20:06:00
53.7864,-114.7497,361.6,100,Aqua,MODIS,D,2023-05-04 20:06:00
53.6938,-115.1508,357.8,99,Aqua,MODIS,D,2023-05-04 20:06:00
53.6879,-115.1763,328.4,82,Aqua,MODIS,D,2023-05-04 20:06:00
53.8028,-114.7325,321.8,63,Aqua,MODIS,D,2023-05-04 20:06:00
53.7972,-114.7569,432.6,100,Aqua,MODIS,D,2023-05-04 20:06:00
53.7916,-114.7815,345.9,93,Aqua,MODIS,D,2023-05-04 20:06:00
52.8182,-115.9021,321.1,76,Aqua,MODIS,D,2023-05-04 20:06:00
53.144,-114.8397,322.3,74,Aqua,MODIS,D,2023-05-04 20:06:00
53.1551,-114.8469,408.5,100,Aqua,MODIS,D,2023-05-04 20:06:00
53.1492,-114.8723,385.9,100,Aqua,MODIS,D,2023-05-04 20:06:00
