latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
53.6818,-115.1444,356.4,1.2,1.1,2023-05-01,0520,Terra,MODIS,100,61.03,272.8,99.9,N,0
53.6629,-115.1385,325.4,1.2,1.1,2023-05-01,0520,Terra,MODIS,99,61.03,277.3,31.6,N,0
53.6742,-115.1242,314.8,1.2,1.1,2023-05-01,0520,Terra,MODIS,34,61.03,269.5,19,N,0
53.6724,-115.1415,362.7,1.2,1.1,2023-05-01,0520,Terra,MODIS,100,61.03,278.2,119.7,N,0
53.6705,-115.1588,314,1.2,1.1,2023-05-01,0520,Terra,MODIS,26,61.03,274.4,17.4,N,0
53.6534,-115.1356,324.3,1.2,1.1,2023-05-01,0520,Terra,MODIS,55,61.03,279.9,29.3,N,0
53.68,-115.1618,317.1,1.2,1.1,2023-05-01,0520,Terra,MODIS,63,61.03,270.8,21.6,N,0
53.6802,-115.1326,313.1,1.1,1,2023-05-01,1004,Aqua,MODIS,34,61.03,281.7,15.7,N,0
53.6622,-115.1391,325.7,1.1,1,2023-05-01,1004,Aqua,MODIS,23,61.03,286.6,26.5,N,0
53.6573,-115.1344,337.8,1.2,1.1,2023-05-01,1849,Terra,MODIS,84,61.03,305.4,36.8,D,0
53.6758,-115.1249,329.1,1.2,1.1,2023-05-01,1849,Terra,MODIS,72,61.03,297.6,22.9,D,0
53.655,-115.1422,331.2,1.2,1.1,2023-05-01,1849,Terra,MODIS,79,61.03,306.1,31.5,D,0
53.6666,-115.1296,328.2,1.2,1.1,2023-05-01,1849,Terra,MODIS,77,61.03,300.5,20.3,D,0
53.6566,-115.1308,304,1.6,1.3,2023-05-02,1046,Aqua,MODIS,58,61.03,281.4,20,N,0
53.0913,-114.2583,317.4,1.3,1.1,2023-05-02,2019,Aqua,MODIS,51,61.03,293.9,12.8,D,0
53.0918,-114.2584,315,1,1,2023-05-03,1833,Terra,MODIS,69,61.03,296.4,7.1,D,0
52.7205,-113.7683,371.3,1.3,1.1,2023-05-03,2101,Aqua,MODIS,87,61.03,308.2,167,D,0
52.7123,-113.7459,345.7,1.3,1.1,2023-05-03,2101,Aqua,MODIS,93,61.03,308.2,63.3,D,0
52.7103,-113.7657,380,1.3,1.1,2023-05-03,2101,Aqua,MODIS,87,61.03,315.5,216.6,D,0
52.7225,-113.7486,325.9,1.3,1.1,2023-05-03,2101,Aqua,MODIS,72,61.03,304.7,17.7,D,0
54.8037,-113.0732,302.3,1.3,1.1,2023-05-04,1031,Aqua,MODIS,35,61.03,284.6,12.4,N,0
53.6788,-115.1282,323.2,2.1,1.4,2023-05-04,1913,Terra,MODIS,71,61.03,304.2,29.4,D,0
53.1458,-115.7019,309.6,2,1.4,2023-05-04,1914,Terra,MODIS,53,61.03,297.1,14.3,D,0
53.1478,-115.694,312.9,2,1.4,2023-05-04,1914,Terra,MODIS,63,61.03,297.4,21,D,0
52.8212,-115.9042,342.6,2.1,1.4,2023-05-04,1914,Terra,MODIS,92,61.03,297.4,127.5,D,0
52.8144,-115.8757,318.1,2.1,1.4,2023-05-04,1914,Terra,MODIS,74,61.03,298.2,35.8,D,0
52.8194,-115.9121,333.4,2.1,1.4,2023-05-04,1914,Terra,MODIS,87,61.03,296.4,83.7,D,0
53.1391,-115.6735,310.6,2.1,1.4,2023-05-04,1914,Terra,MODIS,59,61.03,297.7,17.7,D,0
52.8126,-115.8835,324.3,2.1,1.4,2023-05-04,1914,Terra,MODIS,80,61.03,296.9,50.9,D,0
53.1437,-115.7128,369.5,2,1.4,2023-05-04,2006,Aqua,MODIS,100,61.03,302.5,299.5,D,0
53.627,-115.1317,334.3,1.8,1.3,2023-05-04,2006,Aqua,MODIS,86,61.03,304.8,60.7,D,0
53.644,-115.1134,334.5,1.8,1.3,2023-05-04,2006,Aqua,MODIS,86,61.03,306,59.8,D,0
53.6381,-115.1391,331.7,1.8,1.3,2023-05-04,2006,Aqua,MODIS,84,61.03,303.2,51.5,D,0
53.6386,-115.114,351.3,1.8,1.3,2023-05-04,2006,Aqua,MODIS,96,61.03,307.1,131.8,D,0
53.6717,-115.1361,328,1.8,1.3,2023-05-04,2006,Aqua,MODIS,82,61.03,306.5,35.2,D,0
53.6657,-115.1618,327.3,1.8,1.3,2023-05-04,2006,Aqua,MODIS,80,61.03,307.5,35.2,D,0
53.6828,-115.1435,363.3,1.8,1.3,2023-05-04,2006,Aqua,MODIS,100,61.03,309.5,199.9,D,0
53.6768,-115.1691,335.9,1.8,1.3,2023-05-04,2006,Aqua,MODIS,88,61.03,308.6,60.7,D,0
53.7864,-114.7497,361.6,1.7,1.3,2023-05-04,2006,Aqua,MODIS,100,61.03,309,180.8,D,0
53.6938,-115.1508,357.8,1.8,1.3,2023-05-04,2006,Aqua,MODIS,99,61.03,306.7,166.8,D,0
53.6879,-115.1763,328.4,1.8,1.3,2023-05-04,2006,Aqua,MODIS,82,61.03,306.7,37.8,D,0
53.8028,-114.7325,321.8,1.7,1.3,2023-05-04,2006,Aqua,MODIS,63,61.03,305.2,19.8,D,0
53.7972,-114.7569,432.6,1.7,1.3,2023-05-04,2006,Aqua,MODIS,100,61.03,315.8,1123.7,D,0
53.7916,-114.7815,345.9,1.7,1.3,2023-05-04,2006,Aqua,MODIS,93,61.03,306.1,98,D,0
52.8182,-115.9021,321.1,2.1,1.4,2023-05-04,2006,Aqua,MODIS,76,61.03,299.7,43.4,D,0
52.811,-115.9316,309.6,2.1,1.4,2023-05-04,2006,Aqua,MODIS,44,61.03,297.5,14.6,D,0
53.144,-114.8397,322.3,1.8,1.3,2023-05-04,2006,Aqua,MODIS,74,61.03,305.2,26.6,D,0
53.1551,-114.8469,408.5,1.8,1.3,2023-05-04,2006,Aqua,MODIS,100,61.03,313.1,723.8,D,0
53.1492,-114.8723,385.9,1.8,1.3,2023-05-04,2006,Aqua,MODIS,100,61.03,309.6,413.3,D,0
53.1662,-114.8542,318.5,1.8,1.3,2023-05-04,2006,Aqua,MODIS,55,61.03,303.2,16.7,D,0
53.139,-115.6775,322.8,2,1.4,2023-05-04,2006,Aqua,MODIS,77,61.03,301,43.3,D,0
53.1322,-115.7051,319.6,2,1.4,2023-05-04,2006,Aqua,MODIS,73,61.03,299.6,35,D,0
53.1504,-115.6852,369,2,1.4,2023-05-04,2006,Aqua,MODIS,100,61.03,302.1,293.9,D,0
53.633,-115.106,340.3,1.8,1.3,2023-05-04,2006,Aqua,MODIS,90,61.03,306.1,82.1,D,0
53.7955,-114.7247,317.6,3.8,1.8,2023-05-04,2144,Aqua,MODIS,42,61.03,300.2,54.5,D,0
53.1642,-115.7582,387.9,3.4,1.7,2023-05-04,2144,Aqua,MODIS,75,61.03,300.7,1074.9,D,0
53.167,-115.8011,314.1,3.4,1.7,2023-05-04,2144,Aqua,MODIS,59,61.03,297.6,42.8,D,0
53.1683,-115.7493,387.7,3.4,1.7,2023-05-04,2144,Aqua,MODIS,75,61.03,294.6,1071.8,D,0
53.1527,-115.7485,404.5,3.4,1.7,2023-05-04,2144,Aqua,MODIS,89,61.03,302.5,1628.4,D,0
53.137,-115.7474,333,3.4,1.7,2023-05-04,2144,Aqua,MODIS,44,61.03,296,152.7,D,0
53.1382,-115.6957,347.6,3.4,1.7,2023-05-04,2144,Aqua,MODIS,89,61.03,289.2,297.7,D,0
53.1545,-114.8872,328.4,3.8,1.8,2023-05-04,2144,Aqua,MODIS,84,61.03,303.2,129.4,D,0
53.1555,-114.8305,317.6,3.8,1.8,2023-05-04,2144,Aqua,MODIS,47,61.03,302.9,52.1,D,0
53.1488,-114.8832,333,3.8,1.8,2023-05-04,2144,Aqua,MODIS,87,61.03,303.8,169.8,D,0
53.1499,-114.8264,319.8,3.8,1.8,2023-05-04,2144,Aqua,MODIS,77,61.03,303.3,65.1,D,0
52.8206,-115.9152,318.6,3.3,1.7,2023-05-04,2144,Aqua,MODIS,47,61.03,299.3,67.5,D,0
54.8996,-115.6579,309.7,3.5,1.8,2023-05-04,2144,Aqua,MODIS,35,61.03,294.3,31,D,0
54.8827,-115.7129,346.4,3.5,1.8,2023-05-04,2144,Aqua,MODIS,94,61.03,294.3,314.3,D,0
54.8837,-115.6593,360.1,3.5,1.8,2023-05-04,2144,Aqua,MODIS,100,61.03,293.7,512.5,D,0
54.8905,-115.7084,359,3.5,1.8,2023-05-04,2144,Aqua,MODIS,99,61.03,295.7,489.4,D,0
54.8916,-115.655,361.5,3.5,1.8,2023-05-04,2144,Aqua,MODIS,100,61.03,295.6,534.3,D,0
54.8746,-115.71,306.3,3.5,1.8,2023-05-04,2144,Aqua,MODIS,29,61.03,291.7,20,D,0
54.8757,-115.6549,309.2,3.5,1.8,2023-05-04,2144,Aqua,MODIS,57,61.03,292.4,30.7,D,0
53.7996,-114.7878,337.2,3.8,1.8,2023-05-04,2144,Aqua,MODIS,78,61.03,304.1,214.1,D,0
53.811,-114.7836,327.6,3.8,1.8,2023-05-04,2144,Aqua,MODIS,63,61.03,301.1,122.8,D,0
53.7946,-114.7834,344.9,3.8,1.8,2023-05-04,2144,Aqua,MODIS,88,61.03,304.4,310.1,D,0
53.2361,-115.9146,422.5,1.2,1.1,2023-05-05,0447,Terra,MODIS,100,61.03,285.2,576.4,N,0
53.2522,-115.884,326,1.2,1.1,2023-05-05,0447,Terra,MODIS,31,61.03,269.7,29,N,0
53.2489,-115.9016,403.7,1.2,1.1,2023-05-05,0447,Terra,MODIS,100,61.03,278.8,380.5,N,0
53.2456,-115.9195,484.3,1.2,1.1,2023-05-05,0447,Terra,MODIS,100,61.03,309.7,1756.4,N,0
53.2423,-115.9372,444.4,1.3,1.1,2023-05-05,0447,Terra,MODIS,100,61.03,290.4,889.1,N,0
53.2323,-115.9906,343.6,1.3,1.1,2023-05-05,0447,Terra,MODIS,100,61.03,274.2,67.7,N,0
53.2289,-116.0084,318.9,1.3,1.1,2023-05-05,0447,Terra,MODIS,53,61.03,275.5,22.9,N,0
53.2525,-115.8906,335.2,1.2,1.1,2023-05-05,0447,Terra,MODIS,96,61.03,269.3,46.3,N,0
53.2491,-115.9083,424,1.2,1.1,2023-05-05,0447,Terra,MODIS,100,61.03,287.6,594,N,0
53.2457,-115.9261,459.7,1.2,1.1,2023-05-05,0447,Terra,MODIS,100,61.03,305.1,1171.1,N,0
53.2424,-115.9437,417.3,1.3,1.1,2023-05-05,0447,Terra,MODIS,100,61.03,283.3,516.3,N,0
53.2356,-115.9792,353,1.3,1.1,2023-05-05,0447,Terra,MODIS,100,61.03,269.4,95.5,N,0
53.2322,-115.997,324.2,1.3,1.1,2023-05-05,0447,Terra,MODIS,92,61.03,276.2,27.9,N,0
53.2586,-115.9133,363.4,1.2,1.1,2023-05-05,0447,Terra,MODIS,100,61.03,268,129.1,N,0
53.2552,-115.9311,442.4,1.2,1.1,2023-05-05,0447,Terra,MODIS,100,61.03,281.8,855.2,N,0
53.2518,-115.9488,447,1.3,1.1,2023-05-05,0447,Terra,MODIS,100,61.03,292.5,934.5,N,0
53.2484,-115.9666,395.9,1.3,1.1,2023-05-05,0447,Terra,MODIS,100,61.03,272.7,318.5,N,0
53.2451,-115.9843,360.8,1.3,1.1,2023-05-05,0447,Terra,MODIS,100,61.03,268.8,122.4,N,0
