latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
53.6664,-115.2653,311.6,1.5,1.2,2024-05-04,1843,Terra,MODIS,69,61.03,291.8,14.7,D,0
53.6633,-115.2738,307.3,1.5,1.2,2024-05-04,1843,Terra,MODIS,41,61.03,290.2,9.6,D,0
53.1789,-115.7441,301.1,1,1,2024-05-08,1808,Terra,MODIS,45,61.03,286.4,3.8,D,0
53.175,-115.7625,310.3,2,1.4,2024-05-09,2145,Aqua,MODIS,64,61.03,292.9,14.3,D,0
53.9897,-114.4547,308,1,1,2024-06-01,2102,Aqua,MODIS,0,61.03,291.8,5.5,D,0
52.0115,-114.5941,314.7,1,1,2024-06-11,1806,Terra,MODIS,51,61.03,298.2,8.6,D,0
53.4087,-114.1031,311.9,1.2,1.1,2024-06-13,1748,Terra,MODIS,70,61.03,294.8,10.3,D,0
54.5436,-115.5445,302.2,1.1,1.1,2024-06-20,2051,Aqua,MODIS,21,61.03,288.9,3.9,D,0
54.4444,-114.7704,305.2,1.1,1,2024-06-20,2051,Aqua,MODIS,16,61.03,294,4.1,D,0
53.7964,-113.0985,313.1,1.1,1,2024-06-21,1816,Terra,MODIS,46,61.03,300.1,6.8,D,0
54.4379,-116.7793,306.5,1.3,1.1,2024-06-21,2132,Aqua,MODIS,37,61.03,294.2,5.6,D,0
53.845,-113.1224,301.1,1,1,2024-06-23,0429,Terra,MODIS,38,61.03,290.3,5.9,N,0
54.9167,-116.9551,307.7,1,1,2024-06-23,2115,Aqua,MODIS,29,61.03,294.3,4.6,D,0
54.5627,-117.0484,300.3,1,1,2024-07-01,1826,Terra,MODIS,25,61.03,289.3,2.2,D,0
52.3054,-113.5495,304.1,1.6,1.3,2024-07-04,2031,Aqua,MODIS,28,61.03,290.9,8.5,D,0
53.9015,-116.5614,304,1.1,1.1,2024-07-06,1831,Terra,MODIS,41,61.03,292.1,5.1,D,0
54.284,-116.1471,307.4,1.1,1.1,2024-07-07,2055,Aqua,MODIS,11,61.03,296.3,2.9,D,0
53.4328,-115.3188,326.9,1.1,1,2024-07-10,2119,Aqua,MODIS,75,61.03,306.1,17.8,D,0
53.4309,-115.3346,361.7,1.1,1,2024-07-10,2119,Aqua,MODIS,100,61.03,310.2,91.4,D,0
53.4399,-115.3377,327.5,1.1,1,2024-07-10,2119,Aqua,MODIS,76,61.03,305.8,18.8,D,0
52.0423,-117.3898,325.7,1.1,1.1,2024-07-11,0507,Terra,MODIS,100,61.03,295.2,28.2,N,0
52.0442,-117.3731,316.8,1.1,1.1,2024-07-11,0507,Terra,MODIS,94,61.03,292.7,17.9,N,0
52.0532,-117.3777,320.4,1.1,1.1,2024-07-11,0507,Terra,MODIS,100,61.03,291.8,22.5,N,0
52.0644,-117.3632,313.5,1.1,1.1,2024-07-11,0507,Terra,MODIS,87,61.03,289.3,15.7,N,0
52.0623,-117.3821,356.6,1.1,1.1,2024-07-11,0507,Terra,MODIS,100,61.03,291.2,93,N,0
52.0477,-117.371,307.6,1,1,2024-07-11,1049,Aqua,MODIS,37,61.03,289.2,10.2,N,0
52.0424,-117.4091,312.9,3.3,1.7,2024-07-11,2021,Aqua,MODIS,19,61.03,296.7,56.6,D,0
52.0404,-117.41,320,3.3,1.7,2024-07-11,2021,Aqua,MODIS,39,61.03,297.1,87.2,D,0
52.0284,-117.3991,320.9,3.3,1.7,2024-07-11,2021,Aqua,MODIS,76,61.03,294.5,95.3,D,0
52.0645,-117.36,352.6,2.2,1.4,2024-07-11,2159,Aqua,MODIS,97,61.03,296.6,200.4,D,0
52.0621,-117.4003,351.9,2.2,1.4,2024-07-11,2159,Aqua,MODIS,96,61.03,300.4,192.5,D,0
52.0373,-117.3842,317.6,2.2,1.4,2024-07-11,2159,Aqua,MODIS,39,61.03,299.3,32.2,D,0
52.0517,-117.359,323,2.2,1.4,2024-07-11,2159,Aqua,MODIS,73,61.03,297.6,50.2,D,0
52.0497,-117.3922,327.6,2.2,1.4,2024-07-11,2159,Aqua,MODIS,82,61.03,298.9,65.6,D,0
52.0478,-117.3844,300.5,2.3,1.5,2024-07-12,0409,Terra,MODIS,3,61.03,287.3,19.3,N,0
52.0675,-117.3619,331.6,2.3,1.5,2024-07-12,0409,Terra,MODIS,100,61.03,289.4,114.3,N,0
52.0619,-117.3849,306.2,2.3,1.5,2024-07-12,0409,Terra,MODIS,57,61.03,284.5,30.4,N,0
52.0641,-117.3691,319.2,2,1.4,2024-07-12,1739,Terra,MODIS,62,61.03,296.5,37.7,D,0
53.5987,-114.5441,307.3,1,1,2024-07-12,2102,Aqua,MODIS,29,61.03,296.8,3.6,D,0
54.5835,-116.9421,303.1,1.1,1,2024-07-12,2102,Aqua,MODIS,27,61.03,290.3,3.6,D,0
52.0337,-117.3864,303.4,1.5,1.2,2024-07-14,1112,Aqua,MODIS,55,61.03,271.7,16.9,N,0
52.94,-116.0813,305.4,1.5,1.2,2024-07-14,2045,Aqua,MODIS,28,61.03,290.8,6.5,D,0
52.0649,-115.6766,301.9,1.5,1.2,2024-07-14,2045,Aqua,MODIS,21,61.03,289,5.2,D,0
52.0247,-117.3918,357.2,4.3,1.9,2024-07-14,2223,Aqua,MODIS,86,61.03,292.7,639.2,D,0
52.0289,-117.4018,359.9,4.3,1.9,2024-07-14,2223,Aqua,MODIS,94,61.03,293.3,697,D,0
52.0359,-117.3915,334.6,1.1,1.1,2024-07-15,1801,Terra,MODIS,87,61.03,295.3,38.5,D,0
52.034,-117.3753,312.8,1.1,1.1,2024-07-15,1801,Terra,MODIS,40,61.03,295,9.7,D,0
52.0275,-117.3799,332.3,1,1,2024-07-15,2125,Aqua,MODIS,86,61.03,300.8,27.3,D,0
52.0255,-117.3948,331.5,1,1,2024-07-15,2125,Aqua,MODIS,80,61.03,299.3,26.6,D,0
52.0363,-117.3834,328,1,1,2024-07-15,2125,Aqua,MODIS,82,61.03,299.5,20.9,D,0
52.0344,-117.3978,350,1,1,2024-07-15,2125,Aqua,MODIS,95,61.03,303.6,59.1,D,0
52.0273,-117.384,301.5,1.2,1.1,2024-07-16,0511,Terra,MODIS,34,61.03,289.7,6.4,N,0
52.037,-117.3877,313.5,1.2,1.1,2024-07-16,0511,Terra,MODIS,87,61.03,290.9,17.3,N,0
52.0352,-117.4052,301.1,1.2,1.1,2024-07-16,0511,Terra,MODIS,16,61.03,288.6,6.7,N,0
52.0332,-117.3875,318.9,1.4,1.2,2024-07-16,1841,Terra,MODIS,77,61.03,296.7,24.6,D,0
