Lat,Lon,Brightness,Confidence,Satellite,Instrument,DayNight,Timestamp
53.6664,-115.2653,311.6,69,Terra,MODIS,D,2024-05-04 18:43:00
53.175,-115.7625,310.3,64,Aqua,MODIS,D,2024-05-09 21:45:00
53.4087,-114.1031,311.9,70,Terra,MODIS,D,2024-06-13 17:48:00
53.4328,-115.3188,326.9,75,Aqua,MODIS,D,2024-07-10 21:19:00
53.4309,-115.3346,361.7,100,Aqua,MODIS,D,2024-07-10 21:19:00
53.4399,-115.3377,327.5,76,Aqua,MODIS,D,2024-07-10 21:19:00
52.0423,-117.3898,325.7,100,Terra,MODIS,N,2024-07-11 05:07:00
52.0442,-117.3731,316.8,94,Terra,MODIS,N,2024-07-11 05:07:00
52.0532,-117.3777,320.4,100,Terra,MODIS,N,2024-07-11 05:07:00
52.0644,-117.3632,313.5,87,Terra,MODIS,N,2024-07-11 05:07:00
52.0623,-117.3821,356.6,100,Terra,MODIS,N,2024-07-11 05:07:00
52.0284,-117.3991,320.9,76,Aqua,MODIS,D,2024-07-11 20:21:00
52.0645,-117.36,352.6,97,Aqua,MODIS,D,2024-07-11 21:59:00
52.0621,-117.4003,351.9,96,Aqua,MODIS,D,2024-07-11 21:59:00
52.0517,-117.359,323.0,73,Aqua,MODIS,D,2024-07-11 21:59:00
52.0497,-117.3922,327.6,82,Aqua,MODIS,D,2024-07-11 21:59:00
52.0675,-117.3619,331.6,100,Terra,MODIS,N,2024-07-12 04:09:00
52.0641,-117.3691,319.2,62,Terra,MODIS,D,2024-07-12 17:39:00
52.0247,-117.3918,357.2,86,Aqua,MODIS,D,2024-07-14 22:23:00
52.0289,-117.4018,359.9,94,Aqua,MODIS,D,2024-07-14 22:23:00
52.0359,-117.3915,334.6,87,Terra,MODIS,D,2024-07-15 18:01:00
52.0275,-117.3799,332.3,86,Aqua,MODIS,D,2024-07-15 21:25:00
52.0255,-117.3948,331.5,80,Aqua,MODIS,D,2024-07-15 21:25:00
52.0363,-117.3834,328.0,82,Aqua,MODIS,D,2024-07-15 21:25:00
52.0344,-117.3978,350.0,95,Aqua,MODIS,D,2024-07-15 21:25:00
52.037,-117.3877,313.5,87,Terra,MODIS,N,2024-07-16 05:11:00
52.0332,-117.3875,318.9,77,Terra,MODIS,D,2024-07-16 18:41:00
52.0292,-117.3679,317.4,73,Terra,MODIS,D,2024-07-16 18:41:00
54.4996,-116.2007,318.1,75,Aqua,MODIS,D,2024-07-16 20:29:00
54.49,-116.2026,339.5,90,Aqua,MODIS,D,2024-07-16 22:07:00
54.505,-116.2046,313.8,67,Aqua,MODIS,D,2024-07-16 22:07:00
52.0443,-117.3999,307.1,70,Terra,MODIS,N,2024-07-18 04:54:00
52.0295,-117.3835,324.8,78,Aqua,MODIS,D,2024-07-18 21:49:00
52.0271,-117.4127,322.6,76,Aqua,MODIS,D,2024-07-18 21:49:00
52.036,-117.3826,320.4,71,Aqua,MODIS,D,2024-07-21 22:13:00
52.034,-117.4442,322.3,73,Aqua,MODIS,D,2024-07-21 22:13:00
52.0129,-117.3613,304.9,62,Terra,MODIS,N,2024-07-22 05:57:00
52.0448,-117.39,347.2,94,Aqua,MODIS,D,2024-07-23 20:18:00
52.0328,-117.4307,337.5,90,Aqua,MODIS,D,2024-07-23 20:18:00
52.0384,-117.3892,324.4,81,Aqua,MODIS,D,2024-07-23 20:18:00
52.0549,-117.3934,331.0,86,Aqua,MODIS,D,2024-07-23 20:18:00
52.0407,-117.4409,322.3,75,Aqua,MODIS,D,2024-07-23 20:18:00
52.0597,-117.3999,345.9,94,Aqua,MODIS,D,2024-07-23 21:56:00
52.0329,-117.3783,321.8,77,Aqua,MODIS,D,2024-07-23 21:56:00
52.0306,-117.4104,325.0,80,Aqua,MODIS,D,2024-07-23 21:56:00
52.0244,-117.3808,323.9,80,Aqua,MODIS,D,2024-07-23 21:56:00
52.0363,-117.3847,341.9,92,Aqua,MODIS,D,2024-07-23 21:56:00
52.0342,-117.4159,351.8,96,Aqua,MODIS,D,2024-07-23 21:56:00
52.048,-117.3921,452.8,100,Aqua,MODIS,D,2024-07-23 21:56:00
52.0465,-117.4155,484.6,100,Aqua,MODIS,D,2024-07-23 21:56:00
52.0584,-117.4197,335.6,88,Aqua,MODIS,D,2024-07-23 21:56:00
52.1934,-116.1083,353.9,97,Aqua,MODIS,D,2024-07-23 21:56:00
52.1945,-116.0836,317.5,72,Aqua,MODIS,D,2024-07-23 21:56:00
52.1928,-116.1158,348.0,95,Aqua,MODIS,D,2024-07-23 21:56:00
52.4638,-116.5322,321.7,77,Aqua,MODIS,D,2024-07-23 21:56:00
52.4467,-116.8135,447.5,100,Aqua,MODIS,D,2024-07-23 21:56:00
52.4445,-116.8489,413.7,100,Aqua,MODIS,D,2024-07-23 21:56:00
52.4783,-116.5026,373.8,100,Aqua,MODIS,D,2024-07-23 21:56:00
52.4764,-116.5352,417.7,100,Aqua,MODIS,D,2024-07-23 21:56:00
52.4607,-116.7913,364.9,100,Aqua,MODIS,D,2024-07-23 21:56:00
52.4592,-116.8155,505.1,100,Aqua,MODIS,D,2024-07-23 21:56:00
52.457,-116.8499,479.8,100,Aqua,MODIS,D,2024-07-23 21:56:00
52.4718,-116.8164,349.7,95,Aqua,MODIS,D,2024-07-23 21:56:00
52.2094,-116.0875,322.9,100,Terra,MODIS,N,2024-07-24 04:01:00
52.0792,-117.3598,333.6,100,Terra,MODIS,N,2024-07-24 04:01:00
